datetime,respondent_code,value
2024-09-08 07:00:00,NE,9785
2024-09-08 07:00:00,NE,-1715
2024-09-08 07:00:00,NE,9720
2024-09-08 08:00:00,NE,-1687
2024-09-08 08:00:00,NE,7875
2024-09-08 08:00:00,NE,9450
2024-09-08 08:00:00,NE,9562
2024-09-08 09:00:00,NE,-1556
2024-09-08 09:00:00,NE,7885
2024-09-08 09:00:00,NE,9200
2024-09-08 09:00:00,NE,9441
2024-09-08 10:00:00,NE,-1296
2024-09-08 10:00:00,NE,8011
2024-09-08 10:00:00,NE,9320
2024-09-08 10:00:00,NE,9307
2024-09-08 11:00:00,NE,9450
2024-09-08 11:00:00,NE,9540
2024-09-08 11:00:00,NE,-1362
2024-09-08 11:00:00,NE,8178
2024-09-08 12:00:00,NE,-1289
2024-09-08 12:00:00,NE,8243
2024-09-08 12:00:00,NE,9400
2024-09-08 12:00:00,NE,9532
2024-09-08 13:00:00,NE,-1532
2024-09-08 13:00:00,NE,7711
2024-09-08 13:00:00,NE,8780
2024-09-08 13:00:00,NE,9243
2024-09-08 14:00:00,NE,9125
2024-09-08 14:00:00,NE,-1523
2024-09-08 14:00:00,NE,7602
2024-09-08 14:00:00,NE,7990
2024-09-08 15:00:00,NE,-1347
2024-09-08 15:00:00,NE,7547
2024-09-08 15:00:00,NE,7610
2024-09-08 15:00:00,NE,8894
2024-09-08 16:00:00,NE,8751
2024-09-08 16:00:00,NE,7471
2024-09-08 16:00:00,NE,-1280
2024-09-08 16:00:00,NE,7580
2024-09-08 17:00:00,NE,-1166
2024-09-08 17:00:00,NE,7820
2024-09-08 17:00:00,NE,7790
2024-09-08 17:00:00,NE,8986
2024-09-08 18:00:00,NE,-1265
2024-09-08 18:00:00,NE,7893
2024-09-08 18:00:00,NE,8140
2024-09-08 18:00:00,NE,9158
2024-09-08 19:00:00,NE,9644
2024-09-08 19:00:00,NE,-1329
2024-09-08 19:00:00,NE,8315
2024-09-08 19:00:00,NE,8610
2024-09-08 20:00:00,NE,-1363
2024-09-08 20:00:00,NE,8909
2024-09-08 20:00:00,NE,9460
2024-09-08 20:00:00,NE,10272
2024-09-08 21:00:00,NE,10706
2024-09-08 21:00:00,NE,-1195
2024-09-08 21:00:00,NE,9511
2024-09-08 21:00:00,NE,10970
2024-09-08 22:00:00,NE,-1136
2024-09-08 22:00:00,NE,11090
2024-09-08 22:00:00,NE,12400
2024-09-08 22:00:00,NE,12226
2024-09-08 23:00:00,NE,-1565
2024-09-08 23:00:00,NE,11586
2024-09-08 23:00:00,NE,13150
2024-09-08 23:00:00,NE,13151
2024-09-09 00:00:00,NE,-2012
2024-09-09 00:00:00,NE,11326
2024-09-09 00:00:00,NE,13400
2024-09-09 00:00:00,NE,13338
2024-09-09 01:00:00,NE,12952
2024-09-09 01:00:00,NE,13090
2024-09-09 01:00:00,NE,-1635
2024-09-09 01:00:00,NE,11317
2024-09-09 02:00:00,NE,10530
2024-09-09 02:00:00,NE,12220
2024-09-09 02:00:00,NE,12086
2024-09-09 02:00:00,NE,-1556
2024-09-09 03:00:00,NE,-1524
2024-09-09 03:00:00,NE,9622
2024-09-09 03:00:00,NE,11000
2024-09-09 03:00:00,NE,11146
2024-09-09 04:00:00,NE,10495
2024-09-09 04:00:00,NE,8736
2024-09-09 04:00:00,NE,10180
2024-09-09 04:00:00,NE,-1759
2024-09-09 05:00:00,NE,-1734
2024-09-09 05:00:00,NE,8988
2024-09-09 05:00:00,NE,9600
2024-09-09 05:00:00,NE,10722
2024-09-09 06:00:00,NE,10388
2024-09-09 06:00:00,NE,9210
2024-09-09 06:00:00,NE,-1391
2024-09-09 06:00:00,NE,8997
2024-09-09 07:00:00,NE,-1452
2024-09-09 07:00:00,NE,8741
2024-09-09 07:00:00,NE,9040
2024-09-09 07:00:00,NE,10193
2024-09-09 08:00:00,NE,-1652
2024-09-09 08:00:00,NE,8499
2024-09-09 08:00:00,NE,9000
2024-09-09 08:00:00,NE,10151
2024-09-09 09:00:00,NE,10313
2024-09-09 09:00:00,NE,-1474
2024-09-09 09:00:00,NE,8839
2024-09-09 09:00:00,NE,9260
2024-09-09 10:00:00,NE,-1198
2024-09-09 10:00:00,NE,9097
2024-09-09 10:00:00,NE,10030
2024-09-09 10:00:00,NE,10295
2024-09-09 11:00:00,NE,11325
2024-09-09 11:00:00,NE,-1049
2024-09-09 11:00:00,NE,10276
2024-09-09 11:00:00,NE,11230
2024-09-09 12:00:00,NE,-870
2024-09-09 12:00:00,NE,10681
2024-09-09 12:00:00,NE,11550
2024-09-09 12:00:00,NE,11551
2024-09-09 13:00:00,NE,-623
2024-09-09 13:00:00,NE,10194
2024-09-09 13:00:00,NE,10800
2024-09-09 13:00:00,NE,10817
2024-09-09 14:00:00,NE,9952
2024-09-09 14:00:00,NE,-392
2024-09-09 14:00:00,NE,9560
2024-09-09 14:00:00,NE,9940
2024-09-09 15:00:00,NE,-213
2024-09-09 15:00:00,NE,9185
2024-09-09 15:00:00,NE,9390
2024-09-09 15:00:00,NE,9398
2024-09-09 16:00:00,NE,9274
2024-09-09 16:00:00,NE,-182
2024-09-09 16:00:00,NE,9092
2024-09-09 16:00:00,NE,9280
2024-09-09 17:00:00,NE,-72
2024-09-09 17:00:00,NE,9344
2024-09-09 17:00:00,NE,9340
2024-09-09 17:00:00,NE,9416
2024-09-09 18:00:00,NE,45
2024-09-09 18:00:00,NE,9896
2024-09-09 18:00:00,NE,9940
2024-09-09 18:00:00,NE,9851
2024-09-09 19:00:00,NE,482
2024-09-09 19:00:00,NE,11039
2024-09-09 19:00:00,NE,10510
2024-09-09 19:00:00,NE,10557
2024-09-09 20:00:00,NE,11589
2024-09-09 20:00:00,NE,11370
2024-09-09 20:00:00,NE,11876
2024-09-09 20:00:00,NE,287
2024-09-09 21:00:00,NE,12663
2024-09-09 21:00:00,NE,-650
2024-09-09 21:00:00,NE,12013
